level,draw,seed,spread,signs,order,splits_on_target,splits_in_window,s_Net ,s_Dela,s_Belo,s_Nati,s_Frag
1e-16,0,90000,1.2993723191269364,++---,Net >Dela>Belo>Nati>Frag,157,1,0.3848898534151832,0.2102789077956348,-0.7688079578027183,-0.8542304557919613,-0.9144824657117532
1e-16,1,90001,1.278560868680546,++---,Net >Dela>Nati>Belo>Frag,158,1,0.5369006505218126,0.3848159635352544,-0.6217517687775267,-0.5266490083754465,-0.7416602181587333
1e-16,2,90002,1.3048652820656876,++---,Net >Dela>Belo>Nati>Frag,151,1,0.4342686475364168,0.2535074777553521,-0.7664444484037074,-0.8419649641397933,-0.8705966345292708
1e-16,3,90003,1.4201405908629314,+++--,Net >Dela>Belo>Nati>Frag,151,1,1.3415583417979633,1.1131085877562192,0.0671789818585724,-0.0217060667136803,-0.0785822490649681
1e-16,4,90004,1.7623914027072385,++---,Net >Dela>Belo>Nati>Frag,158,1,1.36917557735677,1.0973056545186344,-0.2101919552815063,-0.3077321396876722,-0.3932158253504685
1e-16,5,90005,1.4069267651854234,++---,Net >Dela>Belo>Nati>Frag,159,1,0.9145161726613664,0.6965994054376945,-0.3626090923122871,-0.45194550718496,-0.4924105925240569
1e-16,6,90006,1.6223121437754806,++---,Net >Dela>Nati>Belo>Frag,158,2,0.9975574258046648,0.7874080536263612,-0.4829353071130868,-0.3754115916334375,-0.6247547179708159
1e-16,7,90007,1.673371250971864,++---,Net >Dela>Nati>Belo>Frag,157,0,1.0501059545951066,0.8352890036864906,-0.4717164347493945,-0.3981784795357104,-0.6232652963767573
1e-15,0,91000,1.2660189407434528,+++++,Net >Dela>Belo>Nati>Frag,157,0,2.563491370320886,2.306819839460003,1.4394599605242877,1.3700291043120272,1.2974724295774331
1e-15,1,91001,1.214269150474064,+++++,Net >Dela>Nati>Belo>Frag,162,1,1.279868065642539,1.1119484553466965,0.1717020213000544,0.3081570042960169,0.0655989151684748
1e-15,2,91002,1.639840777734119,++---,Net >Dela>Belo>Nati>Frag,154,2,1.215371625713692,0.954907727805918,-0.2675458924431684,-0.3693896212729357,-0.4244691520204271
1e-15,3,91003,1.7035323825611473,+++--,Net >Dela>Belo>Nati>Frag,154,1,1.5368188726570593,1.251469750560941,0.0195837636217652,-0.0916602469949432,-0.1667135099040879
1e-15,4,91004,1.3339923219879823,+++++,Net >Dela>Belo>Nati>Frag,160,0,1.4656714555613863,1.2368594163085458,0.2788589202820573,0.1861005180103934,0.131679133573404
1e-15,5,91005,1.9985450026280216,++---,Net >Dela>Belo>Nati>Frag,153,0,1.237796484402404,0.9481206731075982,-0.5374950051728837,-0.6490263230259377,-0.7607485182256175
1e-15,6,91006,1.2079533816256025,++---,Net >Dela>Nati>Belo>Frag,152,2,0.3014649932769158,0.1761996565923271,-0.8047374863201937,-0.6794391161487954,-0.9064883883486864
1e-15,7,91007,1.0240169914476094,+++++,Net >Dela>Nati>Belo>Frag,158,2,1.0404342165196532,0.9067125137513116,0.1044879257510138,0.2371979784872713,0.0164172250720437
