level,draw,spread,signs,order,splits_on_target,splits_in_window,s_NetZero,s_Delayed,s_Below2C,s_NDCs,s_Fragmented,seed
0.0,-1,1.2198852777169211,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,157,1,0.28537388123036544,0.16440937295381453,-0.8241620299124586,-0.7012066746415333,-0.9345113964865557,
1e-14,0,1.4565149052283664,+++--,NetZero>Delayed>Below2C>NDCs>Fragmented,160,0,1.3240021066168821,1.0947080259809798,0.030264966093190182,-0.050010075898510475,-0.13251279861148424,10000.0
1e-14,1,0.6926514091901277,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,155,2,0.2918558431528422,0.272210715929738,-0.38249918453521126,-0.030320864237166845,-0.4007955660372855,10001.0
1e-14,2,1.1533525586252833,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,156,1,0.5353772341640166,0.39294017068264253,-0.540271308662561,-0.4172857508949499,-0.6179753244612667,10002.0
1e-14,3,1.0375206787034283,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,160,2,0.3407094241003863,0.23399096732469538,-0.5992501249434903,-0.48931995308593157,-0.696811254603042,10003.0
1e-14,4,1.373323324714094,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,162,4,1.0963661330573427,0.9237079372352497,-0.1642996093966027,-0.04715205464365946,-0.27695719165675126,10004.0
1e-14,5,0.9347918995229723,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,169,1,0.3753300012283902,0.24329370354144597,-0.48254547550157234,-0.5365500134461625,-0.559461898294582,10005.0
1e-14,6,1.3219409369845994,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,160,1,0.6783552542505733,0.4912067765398067,-0.49462150688638173,-0.580627873042665,-0.643585682734026,10006.0
1e-14,7,1.0349115497498347,+----,NetZero>Delayed>Below2C>NDCs>Fragmented,158,2,0.0779062026321875,-0.056274704443848744,-0.8421367275099692,-0.90199593919486,-0.9570053471176472,10007.0
1e-13,0,1.6417231977297608,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,159,1,1.2476724315306016,0.9952585758898205,-0.23569612302406728,-0.3348485740570095,-0.39405076619915924,20000.0
1e-13,1,0.9551621171972027,-----,NetZero>Delayed>Below2C>Fragmented>NDCs,159,2,-0.016319960133963196,-0.16573349717906893,-0.7001683946065822,-0.9714820773311659,-0.8128371194404385,20001.0
1e-13,2,1.5434331231778258,++-+-,NetZero>Delayed>NDCs>Below2C>Fragmented,153,0,1.3821003441073791,1.1613534455113461,-0.021651046476767632,0.06539740541665884,-0.16133277907044663,20002.0
1e-13,3,1.2487293088557512,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,163,2,0.6870657151321655,0.49604586652596927,-0.46196255088145266,-0.5336105879598323,-0.5616635937235857,20003.0
1e-13,4,0.3538719003890072,+----,NetZero>Delayed>Below2C>Fragmented>NDCs,162,4,0.03406354006135981,-0.003874419049285649,-0.28108886969766234,-0.31980836032764737,-0.3087917145104795,20004.0
1e-13,5,1.6800696903708672,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,156,2,2.1025716242567136,1.8111632186043143,0.6134902941108988,0.4721969231845642,0.42250193388584645,20005.0
1e-13,6,0.9162062700638898,+++++,NetZero>Delayed>Below2C>Fragmented>NDCs,160,0,1.166420935191696,1.0017466685032894,0.3877833968971758,0.2502146651278063,0.2853831160878362,20006.0
1e-13,7,1.5488769506456916,+++++,NetZero>Delayed>Below2C>Fragmented>NDCs,155,2,1.8357435564248343,1.4996803809625434,0.6867916302416908,0.2868666057791427,0.5283265231822356,20007.0
1e-12,0,2.0507708663379405,+++++,NetZero>Delayed>NDCs>Below2C>Fragmented,163,2,2.28828277898013,1.9825891732663636,0.4389108285745382,0.5271781742539075,0.2375119126421894,30000.0
1e-12,1,0.9846909042848018,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,158,0,0.58110722261259,0.5062578635042594,-0.3419128575130217,-0.10404838953187934,-0.4035836816722118,30001.0
1e-12,2,1.12263468314341,-----,NetZero>Delayed>NDCs>Below2C>Fragmented,161,0,-0.008067812229227922,-0.11335750551667045,-1.0593021815417818,-0.9360095755036486,-1.130702495372638,30002.0
1e-12,3,1.0546316581434083,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,160,1,0.3934817624068323,0.27899979959596743,-0.594623824275907,-0.4594994207678482,-0.661149895736576,30003.0
1e-12,4,1.3989468055688032,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,158,3,0.9589351054692625,0.6928624399662855,-0.2910536030288231,-0.3827738216151504,-0.4400117000995407,30004.0
1e-12,5,1.2224008319346407,+++++,NetZero>Delayed>NDCs>Below2C>Fragmented,159,2,1.28395680280383,1.1142177836200795,0.17435723994130292,0.292435814596435,0.06155597086918929,30005.0
1e-12,6,1.3431059503554676,++++-,NetZero>Delayed>NDCs>Below2C>Fragmented,158,0,1.2766849362876505,1.0994406329900661,0.05826053642367457,0.16861268338909285,-0.0664210140678172,30006.0
1e-12,7,1.023535073417626,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,161,0,0.841998260895596,0.6771240068810811,-0.05590876172334802,-0.15004559764962844,-0.18153681252203002,30007.0
1e-10,0,0.9583956372254923,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,156,2,0.11395120441036166,0.019419396971426472,-0.7956762197467717,-0.6568256143741396,-0.8444444328151306,40000.0
1e-10,1,1.459230201267228,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,158,1,1.7918130262263796,1.5414977479085605,0.49455223542134563,0.41235707989564085,0.3325828249591516,40001.0
1e-10,2,1.548434483968812,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,158,3,0.7889150785580838,0.5523464015663375,-0.6263843721413545,-0.7293584648881861,-0.7595194054107282,40002.0
1e-10,3,0.9256614850338756,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,153,2,0.9883530276674133,0.79422039874173,0.17754780178616913,0.07020176597469341,0.06269154263353771,40003.0
1e-10,4,1.229501929294234,+++++,NetZero>Delayed>Below2C>Fragmented>NDCs,157,1,1.5723789161615405,1.3290646125235024,0.6154054186199236,0.3428769868673065,0.4578713295485959,40004.0
