feature,sotto_A,sopra_A,fuori_A,sotto_B,sopra_B,fuori_B
UNRATE_DIFF_L0,0,0,0,0,0,0
CPI_DIFF_L0,0,0,0,0,0,0
R_WTI_L0,0,0,0,0,0,0
Wind_ANOM_L0,0,0,0,0,0,0
ExMkt_L0,0,0,0,0,0,0
R_WTI_L1,0,0,0,0,0,0
R_NatGas_L1,0,0,0,0,0,0
Wind_ANOM_L1,0,0,0,0,0,0
ExMkt_L1,0,0,0,0,0,0
CPI_DIFF_L2,0,0,0,0,0,0
R_WTI_L2,0,0,0,0,0,0
Precip_ANOM_L2,242,264,506,220,264,484
ExMkt_L2,0,0,0,0,0,0
UNRATE_DIFF_L0_x_Entity_17,0,0,0,0,0,0
CPI_DIFF_L0_x_Entity_15,0,0,0,0,0,0
CPI_DIFF_L0_x_Entity_16,0,0,0,0,0,0
R_WTI_L0_x_Entity_16,0,0,0,0,0,0
R_NatGas_L0_x_Entity_2,0,0,0,0,0,0
Tas_ANOM_L0_x_Entity_17,34,0,34,34,0,34
Tas_ANOM_L0_x_Entity_18,34,0,34,34,0,34
Tas_ANOM_L0_x_Entity_20,34,0,34,34,0,34
Precip_ANOM_L0_x_Entity_14,11,12,23,10,12,22
Precip_ANOM_L0_x_Entity_20,11,12,23,10,12,22
Wind_ANOM_L0_x_Entity_16,0,0,0,0,0,0
ExMkt_L0_x_Entity_1,0,0,0,0,0,0
ExMkt_L0_x_Entity_2,0,0,0,0,0,0
ExMkt_L0_x_Entity_3,0,0,0,0,0,0
ExMkt_L0_x_Entity_4,0,0,0,0,0,0
ExMkt_L0_x_Entity_5,0,0,0,0,0,0
ExMkt_L0_x_Entity_6,0,0,0,0,0,0
ExMkt_L0_x_Entity_7,0,0,0,0,0,0
ExMkt_L0_x_Entity_8,0,0,0,0,0,0
ExMkt_L0_x_Entity_9,0,0,0,0,0,0
ExMkt_L0_x_Entity_10,0,0,0,0,0,0
ExMkt_L0_x_Entity_11,0,0,0,0,0,0
ExMkt_L0_x_Entity_12,0,0,0,0,0,0
ExMkt_L0_x_Entity_13,0,0,0,0,0,0
ExMkt_L0_x_Entity_14,0,0,0,0,0,0
ExMkt_L0_x_Entity_15,0,0,0,0,0,0
ExMkt_L0_x_Entity_16,0,0,0,0,0,0
ExMkt_L0_x_Entity_17,0,0,0,0,0,0
ExMkt_L0_x_Entity_18,0,0,0,0,0,0
ExMkt_L0_x_Entity_19,0,0,0,0,0,0
ExMkt_L0_x_Entity_20,0,0,0,0,0,0
ExMkt_L0_x_Entity_21,0,0,0,0,0,0
ExMkt_L0_x_Entity_22,0,0,0,0,0,0
UNRATE_DIFF_L1_x_Entity_17,0,0,0,0,0,0
UNRATE_DIFF_L1_x_Entity_18,0,0,0,0,0,0
CPI_DIFF_L1_x_Entity_17,0,0,0,0,0,0
CPI_DIFF_L1_x_Entity_20,0,0,0,0,0,0
R_WTI_L1_x_Entity_5,0,0,0,0,0,0
R_WTI_L1_x_Entity_6,0,0,0,0,0,0
R_WTI_L1_x_Entity_15,0,0,0,0,0,0
R_WTI_L1_x_Entity_16,0,0,0,0,0,0
R_WTI_L1_x_Entity_18,0,0,0,0,0,0
R_WTI_L1_x_Entity_19,0,0,0,0,0,0
R_NatGas_L1_x_Entity_6,0,0,0,0,0,0
Wind_ANOM_L1_x_Entity_16,0,0,0,0,0,0
ExMkt_L1_x_Entity_6,0,0,0,0,0,0
ExMkt_L1_x_Entity_7,0,0,0,0,0,0
ExMkt_L1_x_Entity_15,0,0,0,0,0,0
ExMkt_L1_x_Entity_20,0,0,0,0,0,0
UNRATE_DIFF_L2_x_Entity_7,0,0,0,0,0,0
CPI_DIFF_L2_x_Entity_16,0,0,0,0,0,0
CPI_DIFF_L2_x_Entity_17,0,0,0,0,0,0
CPI_DIFF_L2_x_Entity_18,0,0,0,0,0,0
R_WTI_L2_x_Entity_20,0,0,0,0,0,0
R_NatGas_L2_x_Entity_20,0,0,0,0,0,0
Tas_ANOM_L2_x_Entity_16,34,0,34,34,0,34
Tas_ANOM_L2_x_Entity_20,34,0,34,34,0,34
Wind_ANOM_L2_x_Entity_20,0,0,0,0,0,0
ExMkt_L2_x_Entity_7,0,0,0,0,0,0
ExMkt_L2_x_Entity_17,0,0,0,0,0,0
