Feature,Importance,SharePct
ExMkt_L0,0.090682398823765,68.7054889226864
R_WTI_L1_x_Entity_6,0.00254475192809031,1.9280304411243
ExMkt_L1,0.00206455221622394,1.56420729118282
Tas_ANOM_L0_x_Entity_20,0.00172661794735729,1.30817150620832
ExMkt_L0_x_Entity_2,0.00160827490098238,1.21850893698592
Tas_ANOM_L2_x_Entity_20,0.00156947597360643,1.18911294272886
ExMkt_L0_x_Entity_17,0.00149212361098631,1.13050695124567
CPI_DIFF_L0,0.00130340753007104,0.987526276108761
R_NatGas_L1_x_Entity_6,0.00127680689498304,0.967372313894695
ExMkt_L0_x_Entity_7,0.0011394042002934,0.863269208546839
ExMkt_L0_x_Entity_21,0.0011153729283365,0.84506192344357
R_WTI_L0,0.00110596353080457,0.837932896573034
R_NatGas_L1,0.00102484427299313,0.776472918217015
Precip_ANOM_L2,0.000986380792474008,0.74733107515803
CPI_DIFF_L1_x_Entity_20,0.000960065461313321,0.727393273368389
R_WTI_L1_x_Entity_15,0.000872610510253843,0.661133059157157
ExMkt_L0_x_Entity_3,0.000843738313551591,0.639258049051223
R_WTI_L2,0.000721671908516533,0.546774478394175
Wind_ANOM_L1,0.0007112622142977,0.538887577075755
ExMkt_L0_x_Entity_14,0.000656101611727354,0.497095165119043
Wind_ANOM_L2_x_Entity_20,0.000633125402260582,0.479687247756022
Wind_ANOM_L0,0.00062764650040673,0.475536159612006
UNRATE_DIFF_L1_x_Entity_18,0.000623870791937748,0.472675495362319
ExMkt_L1_x_Entity_7,0.000615891747409704,0.466630174963368
UNRATE_DIFF_L0,0.000611022978248466,0.462941353648389
Tas_ANOM_L2_x_Entity_16,0.000599731441301329,0.454386324483916
ExMkt_L0_x_Entity_22,0.000599534877403312,0.454237397912795
R_WTI_L1,0.000560516933279971,0.424675465690844
R_WTI_L1_x_Entity_5,0.000541542105294519,0.410299193659289
CPI_DIFF_L2,0.000524193661172872,0.397155150814303
R_WTI_L2_x_Entity_20,0.000522424842852739,0.395815006209876
ExMkt_L2,0.000491650339759668,0.372498714307725
UNRATE_DIFF_L0_x_Entity_17,0.000483095864121419,0.36601741872196
CPI_DIFF_L1_x_Entity_17,0.000478800006136934,0.362762663367064
ExMkt_L0_x_Entity_20,0.000463736577998377,0.351349862111964
UNRATE_DIFF_L1_x_Entity_17,0.000463660223292608,0.351292011994858
ExMkt_L0_x_Entity_18,0.000458664265080068,0.347506825938003
ExMkt_L1_x_Entity_20,0.000458484427606237,0.347370572136533
R_WTI_L1_x_Entity_16,0.000441448023974409,0.334462946663549
ExMkt_L2_x_Entity_7,0.000430978557331734,0.32653075878834
R_NatGas_L0_x_Entity_2,0.000417449040868001,0.316280125196976
R_WTI_L1_x_Entity_18,0.000407286319000508,0.308580342397357
R_NatGas_L2_x_Entity_20,0.000379052299950421,0.287188847374618
ExMkt_L0_x_Entity_11,0.000356530438706454,0.270125166789559
CPI_DIFF_L2_x_Entity_16,0.000334566810201866,0.253484431051451
CPI_DIFF_L0_x_Entity_15,0.000325582297361247,0.246677317924166
R_WTI_L1_x_Entity_19,0.000325161447691864,0.24635846131392
CPI_DIFF_L2_x_Entity_18,0.000319995292678538,0.24244432570828
UNRATE_DIFF_L2_x_Entity_7,0.000311912865708348,0.236320677636862
R_WTI_L0_x_Entity_16,0.000311497162199209,0.236005720013191
ExMkt_L0_x_Entity_15,0.000303186365483167,0.229709047680753
ExMkt_L0_x_Entity_6,0.000298369432639107,0.226059500134022
ExMkt_L2_x_Entity_17,0.00029551242605682,0.223894890059328
Precip_ANOM_L0_x_Entity_20,0.000286507989079959,0.217072681416932
ExMkt_L1_x_Entity_15,0.000251563576032113,0.190597058642169
Wind_ANOM_L1_x_Entity_16,0.000231352916171746,0.175284459006872
Tas_ANOM_L0_x_Entity_17,0.000191645848854492,0.145200412829181
Tas_ANOM_L0_x_Entity_18,0.00017908623610075,0.135684626456983
CPI_DIFF_L0_x_Entity_16,0.000173199177659221,0.131224298611799
Precip_ANOM_L0_x_Entity_14,0.000168101057744047,0.127361709775356
ExMkt_L0_x_Entity_9,0.000155299783694713,0.117662828803955
Wind_ANOM_L0_x_Entity_16,0.000148986518111996,0.112879585261818
CPI_DIFF_L2_x_Entity_17,0.000147219238542882,0.111540606491583
ExMkt_L1_x_Entity_6,0.000118588585578615,0.0898486019173691
ExMkt_L0_x_Entity_1,0.000106865574276783,0.0809666663534031
ExMkt_L0_x_Entity_5,9.61023836427337e-05,0.0728119385950697
ExMkt_L0_x_Entity_13,8.54671545316832e-05,0.0647541608415326
ExMkt_L0_x_Entity_12,5.9660083506727e-05,0.0452014421725218
ExMkt_L0_x_Entity_16,5.42912758938859e-05,0.0411337668931222
ExMkt_L0_x_Entity_10,5.31402582010853e-05,0.0402616987258892
ExMkt_L0_x_Entity_4,3.42653469199515e-05,0.0259611285517048
ExMkt_L0_x_Entity_19,2.38336078498801e-05,0.0180575249591705
ExMkt_L0_x_Entity_8,0,0
