Sector,Component,Net Zero 2050,Delayed transition,Below 2°C,Nationally Determined Contributions (NDCs),Fragmented World,Range
CDSC,transition,0.22410428705408392,0.21491464188350884,0.22410428705408392,0.22350847766938142,0.21491464188350884,0.009189645170575078
COMM,transition,-2.0514172453068036,-2.1496710245829522,-2.035820565339469,-2.084754764862024,-2.1355382988152654,0.11385045924348303
CSTP,transition,-0.24649540696409156,-0.2252968976819839,-0.24649540696409156,-0.2306049429116116,-0.2306049429116116,0.021198509282107647
ENRG,transition,0.09197980603585298,0.052817796859660704,-0.2670755617449819,-0.22727896866953667,-0.30271553443316435,0.39469534046901733
FIN,transition,0.0,0.0011670109082471125,0.0,0.0,0.0,0.0011670109082471125
HLTC,transition,-0.16548020059186308,-0.1654802005918632,-0.16548020059186308,-0.16548020059186308,-0.1654802005918632,1.1102230246251565e-16
IND,transition,-0.11202020518191991,-0.107711735751846,-0.11202020518191991,-0.11202020518191991,-0.107711735751846,0.004308469430073902
INFT,transition,-0.6232353479017949,-0.6478232330359757,-0.5940080461049841,-0.6161781818910417,-0.6215210488278462,0.05381518693099152
MATS,transition,-0.5438595143118616,-0.6604121816100237,-0.5446007837539288,-0.8555949760597596,-0.660003222644191,0.311735461747898
REIT,transition,-0.011875489473495815,-0.016105501555674362,-0.01187508993753772,-0.013859836733911335,-0.014104472375248145,0.0042304116181366425
UTIL,transition,0.0,0.0,0.0,0.0,0.0,0.0
CDSC,physical,0.22410428705408392,0.22350847766938142,0.22410428705408392,0.22350847766938142,0.22350847766938142,0.0005958093847024948
COMM,physical,-1.9704730485389126,-2.091031926816857,-1.973755386248866,-2.0814300935083483,-2.072671133797599,0.12055887827794454
CSTP,physical,-0.24649540696409156,-0.2306049429116116,-0.24649540696409156,-0.2306049429116116,-0.2306049429116116,0.015890464052479958
ENRG,physical,-0.3234764244043341,-0.3234764244043341,-0.3234764244043341,-0.3234764244043341,-0.3234764244043341,0.0
FIN,physical,0.0,0.0,0.0,0.0,0.0,0.0
HLTC,physical,-0.16548020059186308,-0.16548020059186308,-0.16548020059186308,-0.16548020059186308,-0.16548020059186308,0.0
IND,physical,-0.11202020518191991,-0.11202020518191991,-0.11202020518191991,-0.11202020518191991,-0.11202020518191991,0.0
INFT,physical,-0.6051496811851795,-0.598144634303382,-0.6051496811851795,-0.6001094931003219,-0.6001094931003219,0.007005046881797483
MATS,physical,-1.1019005480150859,-1.0994182117265967,-1.1019005480150859,-1.0994182117265967,-1.0994182117265967,0.002482336288489151
REIT,physical,-0.019889684948000586,-0.0188603914225689,-0.01965565772576605,-0.01979650031150637,-0.01979650031150637,0.0010292935254316848
UTIL,physical,0.0,0.0,0.0,0.0,0.0,0.0
