Scenario,Component,Sector,Date,LogRatio
Below 2°C,combined,CDSC,2025-01-31,0.002721500051854203
Below 2°C,combined,CDSC,2025-02-28,0.005443000103708434
Below 2°C,combined,CDSC,2025-03-31,0.008164500155562693
Below 2°C,combined,CDSC,2025-04-30,0.010886000207417
Below 2°C,combined,CDSC,2025-05-31,0.013607500259271321
Below 2°C,combined,CDSC,2025-06-30,0.016329000311125372
Below 2°C,combined,CDSC,2025-07-31,0.019050500362979547
Below 2°C,combined,CDSC,2025-08-31,0.02177332331715874
Below 2°C,combined,CDSC,2025-09-30,0.024494823369012958
Below 2°C,combined,CDSC,2025-10-31,0.02721632342086726
Below 2°C,combined,CDSC,2025-11-30,0.029937823472721448
Below 2°C,combined,CDSC,2025-12-31,0.03265932352457565
Below 2°C,combined,CDSC,2026-01-31,0.03538079640440259
Below 2°C,combined,CDSC,2026-02-28,0.037943249027144244
Below 2°C,combined,CDSC,2026-03-31,0.04050570164988593
Below 2°C,combined,CDSC,2026-04-30,0.04322825595388846
Below 2°C,combined,CDSC,2026-05-31,0.04595081025789094
Below 2°C,combined,CDSC,2026-06-30,0.04867336456189339
Below 2°C,combined,CDSC,2026-07-31,0.05139591886589587
Below 2°C,combined,CDSC,2026-08-31,0.0541184731698984
Below 2°C,combined,CDSC,2026-09-30,0.05684102747390091
Below 2°C,combined,CDSC,2026-10-31,0.05956358177790355
Below 2°C,combined,CDSC,2026-11-30,0.062286136081906085
Below 2°C,combined,CDSC,2026-12-31,0.06500869038590867
Below 2°C,combined,CDSC,2027-01-31,0.06757111396953491
Below 2°C,combined,CDSC,2027-02-28,0.07029363742253086
Below 2°C,combined,CDSC,2027-03-31,0.0730161608755267
Below 2°C,combined,CDSC,2027-04-30,0.07573868432852271
Below 2°C,combined,CDSC,2027-05-31,0.07846120778151872
Below 2°C,combined,CDSC,2027-06-30,0.08118373123451461
Below 2°C,combined,CDSC,2027-07-31,0.08390625468751067
Below 2°C,combined,CDSC,2027-08-31,0.08662877814050668
Below 2°C,combined,CDSC,2027-09-30,0.08919120172413303
Below 2°C,combined,CDSC,2027-10-31,0.09191372517712909
Below 2°C,combined,CDSC,2027-11-30,0.09463624863012515
Below 2°C,combined,CDSC,2027-12-31,0.09735877208312105
Below 2°C,combined,CDSC,2028-01-31,0.10008127327173372
Below 2°C,combined,CDSC,2028-02-29,0.10264367589857226
Below 2°C,combined,CDSC,2028-03-31,0.10536617708718476
Below 2°C,combined,CDSC,2028-04-30,0.10808867827579749
Below 2°C,combined,CDSC,2028-05-31,0.1108111794644101
Below 2°C,combined,CDSC,2028-06-30,0.1135336806530226
Below 2°C,combined,CDSC,2028-07-31,0.11625618184163511
Below 2°C,combined,CDSC,2028-08-31,0.11897868303024772
Below 2°C,combined,CDSC,2028-09-30,0.12154108565708643
Below 2°C,combined,CDSC,2028-10-31,0.12426358684569894
Below 2°C,combined,CDSC,2028-11-30,0.12682598947253754
Below 2°C,combined,CDSC,2028-12-31,0.12938839209937603
Below 2°C,combined,CDSC,2029-01-31,0.1319507679966263
Below 2°C,combined,CDSC,2029-02-28,0.1345131438938767
Below 2°C,combined,CDSC,2029-03-31,0.13723561668511242
Below 2°C,combined,CDSC,2029-04-30,0.13979799258236258
Below 2°C,combined,CDSC,2029-05-31,0.1425204653735982
Below 2°C,combined,CDSC,2029-06-30,0.1452429381648339
Below 2°C,combined,CDSC,2029-07-31,0.14796541095606952
Below 2°C,combined,CDSC,2029-08-31,0.15068788374730513
Below 2°C,combined,CDSC,2029-09-30,0.15341035653854063
Below 2°C,combined,CDSC,2029-10-31,0.15613282932977635
Below 2°C,combined,CDSC,2029-11-30,0.15885530212101184
Below 2°C,combined,CDSC,2029-12-31,0.16157777491224756
Below 2°C,combined,CDSC,2030-01-31,0.16430020000994328
Below 2°C,combined,CDSC,2030-02-28,0.16686253101471382
Below 2°C,combined,CDSC,2030-03-31,0.16942486201948415
Below 2°C,combined,CDSC,2030-04-30,0.17198719302425447
Below 2°C,combined,CDSC,2030-05-31,0.1747096181219504
Below 2°C,combined,CDSC,2030-06-30,0.17727194912672073
Below 2°C,combined,CDSC,2030-07-31,0.1799943742244169
Below 2°C,combined,CDSC,2030-08-31,0.18271679932211293
Below 2°C,combined,CDSC,2030-09-30,0.18543922441980887
Below 2°C,combined,CDSC,2030-10-31,0.1881616495175048
Below 2°C,combined,CDSC,2030-11-30,0.19072398052227513
Below 2°C,combined,CDSC,2030-12-31,0.19328631152704567
Below 2°C,combined,CDSC,2031-01-31,0.19600871678173593
Below 2°C,combined,CDSC,2031-02-28,0.19873112203642596
Below 2°C,combined,CDSC,2031-03-31,0.2014535272911161
Below 2°C,combined,CDSC,2031-04-30,0.2041759325458059
Below 2°C,combined,CDSC,2031-05-31,0.206738244872958
Below 2°C,combined,CDSC,2031-06-30,0.20946065012764792
Below 2°C,combined,CDSC,2031-07-31,0.21218305538233795
Below 2°C,combined,CDSC,2031-08-31,0.21490546063702842
Below 2°C,combined,CDSC,2031-09-30,0.21762786589171845
Below 2°C,combined,CDSC,2031-10-31,0.2203502711464086
Below 2°C,combined,CDSC,2031-11-30,0.22307267640109862
Below 2°C,combined,CDSC,2031-12-31,0.22579508165578877
Below 2°C,combined,CDSC,2032-01-31,0.22851744631022197
Below 2°C,combined,CDSC,2032-02-29,0.23123981096465496
Below 2°C,combined,CDSC,2032-03-31,0.23396217561908816
Below 2°C,combined,CDSC,2032-04-30,0.23668454027352137
Below 2°C,combined,CDSC,2032-05-31,0.23940690492795436
Below 2°C,combined,CDSC,2032-06-30,0.24212926958238756
Below 2°C,combined,CDSC,2032-07-31,0.24485163423682077
Below 2°C,combined,CDSC,2032-08-31,0.24757399889125375
Below 2°C,combined,CDSC,2032-09-30,0.25029636354568696
Below 2°C,combined,CDSC,2032-10-31,0.25285863765705074
Below 2°C,combined,CDSC,2032-11-30,0.2554209117684143
Below 2°C,combined,CDSC,2032-12-31,0.25814327642284773
Below 2°C,combined,CDSC,2033-01-31,0.2607055030987535
Below 2°C,combined,CDSC,2033-02-28,0.2632677297746593
Below 2°C,combined,CDSC,2033-03-31,0.265990044033906
Below 2°C,combined,CDSC,2033-04-30,0.26871235829315254
Below 2°C,combined,CDSC,2033-05-31,0.27143467255239906
Below 2°C,combined,CDSC,2033-06-30,0.2741569868116456
Below 2°C,combined,CDSC,2033-07-31,0.2768793010708921
Below 2°C,combined,CDSC,2033-08-31,0.2796016153301384
Below 2°C,combined,CDSC,2033-09-30,0.2823239295893851
Below 2°C,combined,CDSC,2033-10-31,0.28504624384863164
Below 2°C,combined,CDSC,2033-11-30,0.28776855810787816
Below 2°C,combined,CDSC,2033-12-31,0.29049087236712445
Below 2°C,combined,CDSC,2034-01-31,0.29321314187609726
Below 2°C,combined,CDSC,2034-02-28,0.2959354113850703
Below 2°C,combined,CDSC,2034-03-31,0.2986576808940431
Below 2°C,combined,CDSC,2034-04-30,0.30121986544787616
Below 2°C,combined,CDSC,2034-05-31,0.30394213495684896
Below 2°C,combined,CDSC,2034-06-30,0.30666440446582177
Below 2°C,combined,CDSC,2034-07-31,0.30922658901965483
Below 2°C,combined,CDSC,2034-08-31,0.31178877357348833
Below 2°C,combined,CDSC,2034-09-30,0.3143509581273214
Below 2°C,combined,CDSC,2034-10-31,0.3170732276362942
Below 2°C,combined,CDSC,2034-11-30,0.319795497145267
Below 2°C,combined,CDSC,2034-12-31,0.3225177666542398
Below 2°C,combined,CDSC,2035-01-31,0.3250799142499756
Below 2°C,combined,CDSC,2035-02-28,0.32780214449485556
Below 2°C,combined,CDSC,2035-03-31,0.33036429209059115
Below 2°C,combined,CDSC,2035-04-30,0.3330865223354713
Below 2°C,combined,CDSC,2035-05-31,0.33580875258035126
Below 2°C,combined,CDSC,2035-06-30,0.338530982825231
Below 2°C,combined,CDSC,2035-07-31,0.3412532130701109
Below 2°C,combined,CDSC,2035-08-31,0.34397544331499086
Below 2°C,combined,CDSC,2035-09-30,0.34653759091072667
Below 2°C,combined,CDSC,2035-10-31,0.3490997385064627
Below 2°C,combined,CDSC,2035-11-30,0.3516618861021983
Below 2°C,combined,CDSC,2035-12-31,0.3543841163470782
Below 2°C,combined,CDSC,2036-01-31,0.3569462272438799
Below 2°C,combined,CDSC,2036-02-29,0.3595083381406814
Below 2°C,combined,CDSC,2036-03-31,0.3622305293968018
Below 2°C,combined,CDSC,2036-04-30,0.3649527206529224
Below 2°C,combined,CDSC,2036-05-31,0.3676749119090428
Below 2°C,combined,CDSC,2036-06-30,0.3702370228058445
Below 2°C,combined,CDSC,2036-07-31,0.37295921406196486
Below 2°C,combined,CDSC,2036-08-31,0.37568140531808525
Below 2°C,combined,CDSC,2036-09-30,0.37824351621488717
Below 2°C,combined,CDSC,2036-10-31,0.38096570747100755
Below 2°C,combined,CDSC,2036-11-30,0.38352781836780925
Below 2°C,combined,CDSC,2036-12-31,0.38625000962392964
Below 2°C,combined,CDSC,2037-01-31,0.3889721688811758
Below 2°C,combined,CDSC,2037-02-28,0.39153424965841
Below 2°C,combined,CDSC,2037-03-31,0.39425640891565616
Below 2°C,combined,CDSC,2037-04-30,0.39697856817290234
Below 2°C,combined,CDSC,2037-05-31,0.3997007274301485
Below 2°C,combined,CDSC,2037-06-30,0.4024228866873947
Below 2°C,combined,CDSC,2037-07-31,0.40514504594464085
Below 2°C,combined,CDSC,2037-08-31,0.40786720520188724
Below 2°C,combined,CDSC,2037-09-30,0.410429285979121
Below 2°C,combined,CDSC,2037-10-31,0.41299136675635517
Below 2°C,combined,CDSC,2037-11-30,0.4155534475335889
Below 2°C,combined,CDSC,2037-12-31,0.41827560679083553
Below 2°C,combined,CDSC,2038-01-31,0.4209977238221745
Below 2°C,combined,CDSC,2038-02-28,0.42371984085351344
Below 2°C,combined,CDSC,2038-03-31,0.42644195788485284
Below 2°C,combined,CDSC,2038-04-30,0.4291640749161918
Below 2°C,combined,CDSC,2038-05-31,0.431726115947463
Below 2°C,combined,CDSC,2038-06-30,0.4344482329788024
Below 2°C,combined,CDSC,2038-07-31,0.4371703500101414
Below 2°C,combined,CDSC,2038-08-31,0.4398924670414808
Below 2°C,combined,CDSC,2038-09-30,0.44261458407281973
Below 2°C,combined,CDSC,2038-10-31,0.4453367011041591
Below 2°C,combined,CDSC,2038-11-30,0.4480588181354981
Below 2°C,combined,CDSC,2038-12-31,0.45078093516683704
Below 2°C,combined,CDSC,2039-01-31,0.453503002810828
Below 2°C,combined,CDSC,2039-02-28,0.45606499735528994
Below 2°C,combined,CDSC,2039-03-31,0.4587870649992807
Below 2°C,combined,CDSC,2039-04-30,0.4615091326432714
Below 2°C,combined,CDSC,2039-05-31,0.46423120028726217
Below 2°C,combined,CDSC,2039-06-30,0.46695326793125247
Below 2°C,combined,CDSC,2039-07-31,0.46967533557524366
Below 2°C,combined,CDSC,2039-08-31,0.47239740321923396
Below 2°C,combined,CDSC,2039-09-30,0.4751194708632247
Below 2°C,combined,CDSC,2039-10-31,0.4778415385072159
Below 2°C,combined,CDSC,2039-11-30,0.4805636061512062
Below 2°C,combined,CDSC,2039-12-31,0.4831256006956681
Below 2°C,combined,CDSC,2040-01-31,0.48584761703521107
Below 2°C,combined,CDSC,2040-02-29,0.48856963337475356
Below 2°C,combined,CDSC,2040-03-31,0.4912916497142965
Below 2°C,combined,CDSC,2040-04-30,0.4938535959674413
Below 2°C,combined,CDSC,2040-05-31,0.49657561230698377
Below 2°C,combined,CDSC,2040-06-30,0.49929762864652627
Below 2°C,combined,CDSC,2040-07-31,0.5020196449860692
Below 2°C,combined,CDSC,2040-08-31,0.504581591239214
Below 2°C,combined,CDSC,2040-09-30,0.5073036075787569
Below 2°C,combined,CDSC,2040-10-31,0.5100256239182994
Below 2°C,combined,CDSC,2040-11-30,0.5125875701714442
Below 2°C,combined,CDSC,2040-12-31,0.5153095865109871
Below 2°C,combined,CDSC,2041-01-31,0.518031549552771
Below 2°C,combined,CDSC,2041-02-28,0.5207535125945553
Below 2°C,combined,CDSC,2041-03-31,0.5234754756363391
Below 2°C,combined,CDSC,2041-04-30,0.526197438678123
Below 2°C,combined,CDSC,2041-05-31,0.5287593347637078
Below 2°C,combined,CDSC,2041-06-30,0.5314812978054921
Below 2°C,combined,CDSC,2041-07-31,0.5340431938910766
Below 2°C,combined,CDSC,2041-08-31,0.5366050899766619
Below 2°C,combined,CDSC,2041-09-30,0.5393270530184457
Below 2°C,combined,CDSC,2041-10-31,0.54204901606023
Below 2°C,combined,CDSC,2041-11-30,0.5447709791020139
Below 2°C,combined,CDSC,2041-12-31,0.5473328751875992
Below 2°C,combined,CDSC,2042-01-31,0.5500547740972848
Below 2°C,combined,CDSC,2042-02-28,0.5526166098172758
Below 2°C,combined,CDSC,2042-03-31,0.5553385087269618
Below 2°C,combined,CDSC,2042-04-30,0.5579003444469528
Below 2°C,combined,CDSC,2042-05-31,0.5604621801669438
Below 2°C,combined,CDSC,2042-06-30,0.5630240158869348
Below 2°C,combined,CDSC,2042-07-31,0.5657459147966204
Below 2°C,combined,CDSC,2042-08-31,0.5683077505166119
Below 2°C,combined,CDSC,2042-09-30,0.5710296494262979
Below 2°C,combined,CDSC,2042-10-31,0.5735914851462889
Below 2°C,combined,CDSC,2042-11-30,0.5761533208662799
Below 2°C,combined,CDSC,2042-12-31,0.5788752197759655
Below 2°C,combined,CDSC,2043-01-31,0.5815970520810012
